Source,Date,Author,Comment
FS2UrMAx494,08-05-2022,ใครสั่งใส้อั่ววว,🔺17:38 เป็ด🔺25:39เป็ด🔺32:39เป็ด🔺43:22เป็ด🔺45:36เป็ด🔺59:22เป็ด🔺01:04:23เป็ด🔺01:09:18เป็ด🔺01:20:45เป็ด🔺01:31:30เป็ด🔺01:44:34เป็ด🔺01:51:11เป็ด🔺02:03:02เป็ด🔺02:16:14 เป็ดขอแปะนิดนึง02:17:20ฮาจัดพี่ลี่5🔺02:25:12 เป็ด🔺02:30:35 เป็ดค่ตตลุ้นนพี่แพท02:42:10 🔺02:44:22เป็ด🔺02:57:29เป็ด03:00:00 พี่ก้าย!!พ่อลูกคู่นี้รีบร้อนจริงๆ03:11:40 🔺03:14:23เป็ด🔺03:25:12 เป็ด🔺03:35:10 เป็ด🔺03:44:50 เป็ดเป็ดแบบ300% เล้ยตามชื่อสตรีมเลย
FS2UrMAx494,19-05-2022,Pinz J,hehe boy
FS2UrMAx494,19-05-2022,Speck,พี่เอก ลองไม่เป็นหัวห้องดูสิ เผื่อได้เป็นห่านบ้าง
FS2UrMAx494,19-05-2022,bewty glass,ซาวด์ที่พี่เข้าเปิดคือเพลงอะไรงับบ
FS2UrMAx494,19-05-2022,Anurak Tantipong,ฝ
FS2UrMAx494,19-05-2022,Anurak Tantipong,ใ
FS2UrMAx494,18-05-2022,Pat / na / pra-pa,สงสารตาเอกอย่างหนัก พอได้เป็นเป็ดก็ไม่ได้เล่น 
FS2UrMAx494,18-05-2022,Jaruek Chaitiparsana,เป็นสตรีมที่โคตรเศร้า 5
FS2UrMAx494,18-05-2022,IG Noble,เล่น 22 เกมส์ เป็น เป็ด 20 เกมส์ EP นี้สุดจิ่้ง
FS2UrMAx494,17-05-2022,AB ZA,บอกเลยโฆษณาเกมคุณเอกเกมไหนมาเราโหลดแทบทุกเกมละ 😅😅
FS2UrMAx494,16-05-2022,nnxsh480p,03:25:15 อ่ยยเกมนี้คือทุกคนเอ็นดูพี่เอกกันไม่ไหว5
FS2UrMAx494,16-05-2022,nnxsh480p,เป็นไลฟ์ที่น้องสงสารพี่เอกสุด แต่คือขำแบบขี้จะแตก5
FS2UrMAx494,16-05-2022,ameame,แต่ว่า พี่อาม ดูทุกเทปจริงป่าว ทำไมโป๊ะหมอกเฉย
FS2UrMAx494,16-05-2022,nnxsh480p,02:03:02 เอ็นดูน้องน้ำคนนี้ไม่ไหวแล้ว5
FS2UrMAx494,16-05-2022,อู๋ นะครับ ,"ไม่นะ! ผมโดนชื่อคลิปหลอก อ๊าก (>^<)"""
FS2UrMAx494,15-05-2022,CH. Belle,เป็นเป็ดเยอะสุดในรอบปี
FS2UrMAx494,15-05-2022,spritess,เป็นเป็ดทุกโรลล์เลยอ่า
FS2UrMAx494,15-05-2022,lovesick to you guys,ตอนนี้คือสนุกมาก นอกจากพี่เอกจะเป็นสุดยอดคอนเทนท์แล้วคนอื่นก็อย่างมั่ว อย่างนัว สนุกจัดด
FS2UrMAx494,14-05-2022,Ti nA,3:09:24
FS2UrMAx494,14-05-2022,BluEEyeS,🥹🥹😅 หมานๆนะคะพี่เอก
FS2UrMAx494,14-05-2022,เจ้าหนูติ่ง TV,สุขสันต์วันเกิดย้อนหลังนะคะ
FS2UrMAx494,14-05-2022,_สุ่มไก่ _,แฮปพรี่เบิ้ดเดย์ครับพรี่เอก ย้อนหลังๆ มีความสุขมากๆๆนะคับผม
FS2UrMAx494,14-05-2022,Hning,1:15:00
FS2UrMAx494,14-05-2022,kaowpwss,1:57:18 จำภาพไว้หนิ!! ตอนกุโดนเคี้ยวเนี่ย จำไว้2:03:02 ไม่นะน้ำ😭2:52:41 เป็นเหตุการ์ณที่หดหู่และสิ้นหวังที่สุดในเกมนี้เลยพี่ น้องน้ำตาจะไหล
FS2UrMAx494,14-05-2022,Nontiya Som,มีแต่เป็ด
FS2UrMAx494,14-05-2022,Nadnicha Pedin,เป็นวันที่พี่เอกน่าสงสารที่สุดแล้วอะ5
FS2UrMAx494,14-05-2022,Ananya Chawee,3:15:01 เสียงพี่เอกบับ🥺❤️
FS2UrMAx494,13-05-2022,BSHaneul,เป็นสตรีมที่รุมเร้ามากๆ5 โดนพรากทุกอย่างไปในวันเกิด สงสาร55555
FS2UrMAx494,13-05-2022,So What,วันนี้แปกๆจริง
FS2UrMAx494,13-05-2022,Busayamat TEANKRAJANG,💖🥹
FS2UrMAx494,13-05-2022,Manassanan Ponglanka,เอ็นดูแอ่ 5
